Puzzle,Finished,HowLongPlayedinSeconds
Candle,Yes,44.8
Simple Chair,Yes,114
Candle,No,120
Simple Chair,No,120
Candle,Yes,73.22
Candle,No,120
Candle,No,120
Candle,Yes,72.12
Simple Chair,Yes,58.49
Candle,No,120
Simple Chair,Yes,45
Candle,No,120
Candle,No,120
Simple Chair,No,120
Candle,No,120
Simple Chair,No,120
Simple Chair,No,120
Simple Chair,No,120
Candle,No,120
Simple Chair,No,120
Candle,Yes,34
Simple Chair,Yes,99
Candle,No,120
Simple Chair,No,120
Candle,No,120
Simple Chair,No,120
Candle,No,120
Simple Chair,Yes,71
Candle,No,120
Simple Chair,No,120
Candle,Yes,99
Simple Chair,Yes,52
Candle,Yes,45
Simple Chair,No,120
Candle,Yes,118
Simple Chair,Yes,100
Candle,Yes,108
Simple Chair,No,120
Candle,Yes,43.58
Simple Chair,No,120
Candle,Yes,63.97
Simple Chair,No,120
Candle,No,120
Simple Chair,No,120
Candle,No,120
Simple Chair,Yes,48.65
Simple Chair,No,120
